id,category,subcategory,nombre,precio,descripcion,image_url
1,Gorras,Unisex,Gorra Snapback Classic,450,Gorra snapback ajustable con logo frontal,
2,Gorras,Unisex,Gorra Trucker Mesh,420,Gorra estilo trucker con malla trasera,
3,Gorras,Unisex,Gorra Beisbol Básica,350,Gorra clásica de béisbol con cierre ajustable,
4,Gorras,Unisex,Gorra Visera Plana Urban,480,Gorra urbana con visera plana y diseño minimal,
5,Gorras,Unisex,Gorra Vintage Denim,500,Gorra estilo vintage en denim,
6,Gorras,Deportiva,Gorra Running Light,380,Gorra ligera para deporte y running,
7,Gorras,Premium,Gorra Lana Premium,550,Gorra de lana para clima frío con forro interior,
8,Gorras,Casual,Gorra Logo Patch,400,Gorra con parche de logo en el frente,
9,Calzado,Deportivos,Tenis Runner X,2200,Tenis de running con amortiguación avanzada,
10,Calzado,Deportivos,Tenis Sport Pro,2500,Tenis para entrenamiento y uso diario,
11,Calzado,Casual,Tenis Urban Lite,1800,Tenis urbanos con suela ligera,
12,Calzado,Trail,Tenis Trail Master,2400,Tenis para trail con mayor agarre,
13,Calzado,Classic,Tenis Classic 01,1600,Tenis clásico de uso diario,
14,Calzado,Comfort,Tenis Comfort Plus,2000,Tenis con plantilla acolchonada para confort,
15,Calzado,Performance,Tenis Velocity Pro,2300,Tenis de alta respuesta para corredores,
16,Calzado,Minimal,Tenis Minimal Light,1750,Tenis de peso ligero y diseño minimalista,
17,Accesorios,Calcetines,Pack Calcetines Sport,150,Pack de 3 pares de calcetines deportivos,
18,Accesorios,Cordones,Cordones Refuerzo,120,Cordones resistentes para calzado deportivo,
19,Accesorios,Gorras,Gorro Beanie,300,Gorro de punto calentito para invierno,
20,Accesorios,Bolsas,Bolsa Tote Logo,350,Bolsa tote de tela con logo serigrafiado,
